code,complexity
"def merge_sort_variant16(arr):
    if len(arr) <= 1:
        return arr
    m = len(arr)//2
    return merge_variant16(merge_sort_variant16(arr[:m]), merge_sort_variant16(arr[m:]))

def merge_variant16(a, b):
    i = j = 0
    result = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]:
            result.append(a[i]); i += 1
        else:
            result.append(b[j]); j += 1
    result.extend(a[i:])
    result.extend(b[j:])
    return result",O(nlogn)
"def merge_sort_variant17(arr):
    if len(arr) < 2:
        return arr
    mid = len(arr)//2
    left = merge_sort_variant17(arr[:mid])
    right = merge_sort_variant17(arr[mid:])
    return merge_variant17(left, right)

def merge_variant17(left, right):
    out = []
    while left and right:
        out.append(left.pop(0)) if left[0] < right[0] else out.append(right.pop(0))
    return out + left + right",O(nlogn)
"def merge_sort_variant18(arr):
    if len(arr) <= 1:
        return arr
    mid = len(arr)//2
    return merge_variant18(merge_sort_variant18(arr[:mid]), merge_sort_variant18(arr[mid:]))

def merge_variant18(left, right):
    ret = []
    while left and right:
        if left[0] <= right[0]: ret.append(left.pop(0))
        else: ret.append(right.pop(0))
    return ret + left + right",O(nlogn)
"def merge_sort_variant19(arr):
    n = len(arr)
    if n <= 1:
        return arr
    mid = n // 2
    l = merge_sort_variant19(arr[:mid])
    r = merge_sort_variant19(arr[mid:])
    return merge_variant19(l, r)

def merge_variant19(l, r):
    result = []
    while l and r:
        if l[0] <= r[0]: result.append(l.pop(0))
        else: result.append(r.pop(0))
    result.extend(l or r)
    return result",O(nlogn)
"def merge_sort_variant20(arr):
    if len(arr) < 2:
        return arr
    mid = len(arr)//2
    left = merge_sort_variant20(arr[:mid])
    right = merge_sort_variant20(arr[mid:])
    return merge_variant20(left, right)

def merge_variant20(left, right):
    merged = []
    while left and right:
        if left[0] <= right[0]:
            merged.append(left[0]); left = left[1:]
        else:
            merged.append(right[0]); right = right[1:]
    return merged + left + right",O(nlogn)
"def merge_sort_variant21(arr):
    if len(arr) <= 1:
        return arr
    m = len(arr)//2
    return merge_variant21(merge_sort_variant21(arr[:m]), merge_sort_variant21(arr[m:]))

def merge_variant21(a, b):
    i, j = 0, 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]: out.append(a[i]); i += 1
        else: out.append(b[j]); j += 1
    return out + a[i:] + b[j:]",O(nlogn)
"def merge_sort_variant22(arr):
    if len(arr) <= 1:
        return arr
    mid = len(arr)//2
    return merge_variant22(merge_sort_variant22(arr[:mid]), merge_sort_variant22(arr[mid:]))

def merge_variant22(a, b):
    ret = []
    i = j = 0
    while i < len(a) and j < len(b):
        if a[i] < b[j]: ret.append(a[i]); i += 1
        else: ret.append(b[j]); j += 1
    ret += a[i:]
    ret += b[j:]
    return ret",O(nlogn)
"def merge_sort_variant23(arr):
    if len(arr) <= 1:
        return arr
    mid = len(arr)//2
    left = merge_sort_variant23(arr[:mid])
    right = merge_sort_variant23(arr[mid:])
    return merge_variant23(left, right)

def merge_variant23(left, right):
    result = []
    while left and right:
        if left[0] <= right[0]:
            result.append(left.pop(0))
        else:
            result.append(right.pop(0))
    return result + left + right",O(nlogn)
"def merge_sort_variant24(arr):
    if len(arr) < 2:
        return arr
    mid = len(arr)//2
    return merge_variant24(merge_sort_variant24(arr[:mid]), merge_sort_variant24(arr[mid:]))

def merge_variant24(left, right):
    merged = []
    while left and right:
        if left[0] <= right[0]: merged.append(left.pop(0))
        else: merged.append(right.pop(0))
    return merged + left + right",O(nlogn)
"def merge_sort_variant25(arr):
    n = len(arr)
    if n <= 1: return arr
    mid = n//2
    L = merge_sort_variant25(arr[:mid])
    R = merge_sort_variant25(arr[mid:])
    return merge_variant25(L, R)

def merge_variant25(L, R):
    res = []
    while L and R:
        if L[0] <= R[0]: res.append(L.pop(0))
        else: res.append(R.pop(0))
    return res + L + R",O(nlogn)
"def merge_sort_variant26(arr):
    if len(arr) <= 1: return arr
    mid = len(arr)//2
    return merge_variant26(merge_sort_variant26(arr[:mid]), merge_sort_variant26(arr[mid:]))

def merge_variant26(a, b):
    i, j = 0, 0
    merged = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]: merged.append(a[i]); i += 1
        else: merged.append(b[j]); j += 1
    return merged + a[i:] + b[j:]",O(nlogn)
"def merge_sort_variant27(arr):
    if len(arr) <= 1: return arr
    mid = len(arr) // 2
    left = merge_sort_variant27(arr[:mid])
    right = merge_sort_variant27(arr[mid:])
    return merge_variant27(left, right)

def merge_variant27(left, right):
    out = []
    while left and right:
        if left[0] < right[0]: out.append(left.pop(0))
        else: out.append(right.pop(0))
    return out + left + right",O(nlogn)
"def merge_sort_variant28(arr):
    if len(arr) <= 1:
        return arr
    mid = len(arr)//2
    a = merge_sort_variant28(arr[:mid])
    b = merge_sort_variant28(arr[mid:])
    return merge_variant28(a, b)

def merge_variant28(a, b):
    result = []
    while a and b:
        result.append(a.pop(0)) if a[0] < b[0] else result.append(b.pop(0))
    return result + a + b",O(nlogn)
"def merge_sort_variant29(arr):
    if len(arr) < 2: return arr
    mid = len(arr)//2
    return merge_variant29(merge_sort_variant29(arr[:mid]), merge_sort_variant29(arr[mid:]))

def merge_variant29(a, b):
    res = []
    i, j = 0, 0
    while i < len(a) and j < len(b):
        if a[i] <= b[j]: res.append(a[i]); i += 1
        else: res.append(b[j]); j += 1
    res.extend(a[i:])
    res.extend(b[j:])
    return res",O(nlogn)
"def merge_sort_variant30(arr):
    if len(arr) <= 1: return arr
    m = len(arr)//2
    return merge_variant30(merge_sort_variant30(arr[:m]), merge_sort_variant30(arr[m:]))

def merge_variant30(a, b):
    out = []
    while a and b:
        if a[0] <= b[0]: out.append(a.pop(0))
        else: out.append(b.pop(0))
    return out + a + b",O(nlogn)
"def merge_sort_variant31(arr):
    if len(arr) <= 1:
        return arr
    mid = len(arr)//2
    left = merge_sort_variant31(arr[:mid])
    right = merge_sort_variant31(arr[mid:])
    return merge_variant31(left, right)

def merge_variant31(left, right):
    res = []
    while left and right:
        if left[0] < right[0]: res.append(left.pop(0))
        else: res.append(right.pop(0))
    return res + left + right",O(nlogn)
"def merge_sort_variant32(arr):
    if len(arr) < 2:
        return arr
    mid = len(arr) // 2
    return merge_variant32(merge_sort_variant32(arr[:mid]), merge_sort_variant32(arr[mid:]))

def merge_variant32(a, b):
    merged = []
    i = j = 0
    while i < len(a) and j < len(b):
        if a[i] <= b[j]: merged.append(a[i]); i += 1
        else: merged.append(b[j]); j += 1
    return merged + a[i:] + b[j:]",O(nlogn)
"def merge_sort_variant33(arr):
    if len(arr) <= 1:
        return arr
    m = len(arr)//2
    left = merge_sort_variant33(arr[:m])
    right = merge_sort_variant33(arr[m:])
    return merge_variant33(left, right)

def merge_variant33(l, r):
    res = []
    while l and r:
        if l[0] <= r[0]: res.append(l.pop(0))
        else: res.append(r.pop(0))
    return res + l + r",O(nlogn)
"def merge_sort_variant34(arr):
    if len(arr) <= 1: return arr
    mid = len(arr) // 2
    return merge_variant34(merge_sort_variant34(arr[:mid]), merge_sort_variant34(arr[mid:]))

def merge_variant34(a, b):
    out = []
    while a and b:
        if a[0] <= b[0]: out.append(a.pop(0))
        else: out.append(b.pop(0))
    return out + a + b",O(nlogn)
"def merge_sort_variant35(arr):
    if len(arr) <= 1: return arr
    mid = len(arr) // 2
    left = merge_sort_variant35(arr[:mid])
    right = merge_sort_variant35(arr[mid:])
    return merge_variant35(left, right)

def merge_variant35(left, right):
    result = []
    while left and right:
        if left[0] <= right[0]: result.append(left.pop(0))
        else: result.append(right.pop(0))
    result.extend(left)
    result.extend(right)
    return result",O(nlogn)
"def merge_sort_variant36(arr):
    if len(arr) < 2: return arr
    m = len(arr) // 2
    return merge_variant36(merge_sort_variant36(arr[:m]), merge_sort_variant36(arr[m:]))

def merge_variant36(a, b):
    i, j = 0, 0
    out = []
    while i < len(a) and j < len(b):
        if a[i] <= b[j]: out.append(a[i]); i += 1
        else: out.append(b[j]); j += 1
    return out + a[i:] + b[j:]",O(nlogn)
"def merge_sort_variant37(arr):
    if len(arr) <= 1: return arr
    mid = len(arr)//2
    return merge_variant37(merge_sort_variant37(arr[:mid]), merge_sort_variant37(arr[mid:]))

def merge_variant37(left, right):
    merged = []
    while left and right:
        if left[0] < right[0]: merged.append(left.pop(0))
        else: merged.append(right.pop(0))
    return merged + left + right",O(nlogn)
"def merge_sort_variant38(arr):
    if len(arr) <= 1: return arr
    mid = len(arr) // 2
    L = merge_sort_variant38(arr[:mid])
    R = merge_sort_variant38(arr[mid:])
    return merge_variant38(L, R)

def merge_variant38(L, R):
    result = []
    while L and R:
        if L[0] <= R[0]: result.append(L.pop(0))
        else: result.append(R.pop(0))
    return result + L + R",O(nlogn)
"def merge_sort_variant39(arr):
    if len(arr) <= 1: return arr
    mid = len(arr)//2
    return merge_variant39(merge_sort_variant39(arr[:mid]), merge_sort_variant39(arr[mid:]))

def merge_variant39(a, b):
    res = []
    while a and b:
        res.append(a[0] if a[0] <= b[0] else b[0])
        if a[0] <= b[0]: a.pop(0)
        else: b.pop(0)
    return res + a + b",O(nlogn)
"def merge_sort_variant40(arr):
    if len(arr) < 2: return arr
    m = len(arr)//2
    left = merge_sort_variant40(arr[:m])
    right = merge_sort_variant40(arr[m:])
    return merge_variant40(left, right)

def merge_variant40(left, right):
    out = []
    while left and right:
        if left[0] <= right[0]:
            out.append(left.pop(0))
        else:
            out.append(right.pop(0))
    return out + left + right",O(nlogn)
"def heapsort_variant1(arr):
    def heapify(a, n, i):
        largest = i
        l = 2*i + 1
        r = 2*i + 2
        if l < n and a[l] > a[largest]:
            largest = l
        if r < n and a[r] > a[largest]:
            largest = r
        if largest != i:
            a[i], a[largest] = a[largest], a[i]
            heapify(a, n, largest)
    n = len(arr)
    for i in range(n//2 - 1, -1, -1):
        heapify(arr, n, i)
    for i in range(n-1, 0, -1):
        arr[0], arr[i] = arr[i], arr[0]
        heapify(arr, i, 0)
    return arr",O(nlogn)
"def heapsort_variant2(arr):
    def siftdown(a, start, end):
        root = start
        while 2*root + 1 < end:
            child = 2*root + 1
            if child + 1 < end and a[child] < a[child+1]:
                child += 1
            if a[root] < a[child]:
                a[root], a[child] = a[child], a[root]
                root = child
            else:
                return
    n = len(arr)
    for start in range(n//2 - 1, -1, -1):
        siftdown(arr, start, n)
    for end in range(n-1, 0, -1):
        arr[0], arr[end] = arr[end], arr[0]
        siftdown(arr, 0, end)
    return arr",O(nlogn)
"def heapsort_variant3(arr):
    def build_heap(a):
        n = len(a)
        for i in range(n//2 - 1, -1, -1):
            sift(a, i, n)
    def sift(a, i, n):
        while 2*i + 1 < n:
            j = 2*i + 1
            if j + 1 < n and a[j] < a[j+1]:
                j += 1
            if a[i] < a[j]:
                a[i], a[j] = a[j], a[i]
                i = j
            else:
                break
    n = len(arr)
    build_heap(arr)
    for i in range(n-1, 0, -1):
        arr[0], arr[i] = arr[i], arr[0]
        sift(arr, 0, i)
    return arr",O(nlogn)
"def heapsort_variant4(arr):
    def heapify(a, i, size):
        largest = i
        left = 2*i + 1
        right = 2*i + 2
        if left < size and a[left] > a[largest]:
            largest = left
        if right < size and a[right] > a[largest]:
            largest = right
        if largest != i:
            a[i], a[largest] = a[largest], a[i]
            heapify(a, largest, size)
    n = len(arr)
    for i in range(n//2 - 1, -1, -1):
        heapify(arr, i, n)
    for i in range(n-1, 0, -1):
        arr[0], arr[i] = arr[i], arr[0]
        heapify(arr, 0, i)
    return arr",O(nlogn)
"def heapsort_variant5(arr):
    def siftdown(a, start, end):
        root = start
        while 2*root+1 < end:
            child = 2*root+1
            if child+1 < end and a[child] < a[child+1]:
                child += 1
            if a[root] < a[child]:
                a[root], a[child] = a[child], a[root]
                root = child
            else:
                break
    n = len(arr)
    for start in range(n//2 - 1, -1, -1):
        siftdown(arr, start, n)
    for end in range(n-1, 0, -1):
        arr[0], arr[end] = arr[end], arr[0]
        siftdown(arr, 0, end)
    return arr",O(nlogn)
"def heapsort_variant6(arr):
    def max_heapify(a, size, i):
        largest = i
        l = 2*i+1
        r = 2*i+2
        if l < size and a[l] > a[largest]: largest = l
        if r < size and a[r] > a[largest]: largest = r
        if largest != i:
            a[i], a[largest] = a[largest], a[i]
            max_heapify(a, size, largest)
    size = len(arr)
    for i in range(size//2 - 1, -1, -1):
        max_heapify(arr, size, i)
    for i in range(size-1, 0, -1):
        arr[0], arr[i] = arr[i], arr[0]
        max_heapify(arr, i, 0)
    return arr",O(nlogn)
"def heapsort_variant7(arr):
    def build_max_heap(a):
        n = len(a)
        for i in range(n//2-1, -1, -1):
            heapify(a, n, i)
    def heapify(a, n, i):
        largest = i
        l = 2*i+1
        r = 2*i+2
        if l < n and a[l] > a[largest]: largest = l
        if r < n and a[r] > a[largest]: largest = r
        if largest != i:
            a[i], a[largest] = a[largest], a[i]
            heapify(a, n, largest)
    n = len(arr)
    build_max_heap(arr)
    for i in range(n-1, 0, -1):
        arr[0], arr[i] = arr[i], arr[0]
        heapify(arr, i, 0)
    return arr",O(nlogn)
"def heapsort_variant8(arr):
    def sift_down(a, i, n):
        while 2*i + 1 < n:
            child = 2*i + 1
            if child + 1 < n and a[child] < a[child+1]:
                child += 1
            if a[i] < a[child]:
                a[i], a[child] = a[child], a[i]
                i = child
            else:
                break
    n = len(arr)
    for i in range(n//2-1, -1, -1):
        sift_down(arr, i, n)
    for i in range(n-1, 0, -1):
        arr[0], arr[i] = arr[i], arr[0]
        sift_down(arr, 0, i)
    return arr",O(nlogn)
"def heapsort_variant9(arr):
    def heapify(a, n, i):
        largest = i
        l = 2*i+1
        r = 2*i+2
        if l < n and a[l] > a[largest]: largest = l
        if r < n and a[r] > a[largest]: largest = r
        if largest != i:
            a[i], a[largest] = a[largest], a[i]
            heapify(a, n, largest)
    n = len(arr)
    for i in range((n//2)-1, -1, -1):
        heapify(arr, n, i)
    for i in range(n-1, 0, -1):
        arr[0], arr[i] = arr[i], arr[0]
        heapify(arr, i, 0)
    return arr",O(nlogn)
"def heapsort_variant10(arr):
    def siftdown(a, start, end):
        root = start
        while 2*root + 1 < end:
            child = 2*root + 1
            if child + 1 < end and a[child] < a[child + 1]:
                child += 1
            if a[root] < a[child]:
                a[root], a[child] = a[child], a[root]
                root = child
            else:
                break
    n = len(arr)
    for start in range(n//2 - 1, -1, -1):
        siftdown(arr, start, n)
    for end in range(n-1, 0, -1):
        arr[0], arr[end] = arr[end], arr[0]
        siftdown(arr, 0, end)
    return arr",O(nlogn)
"def heapsort_variant11(arr):
    def max_heap(a):
        n = len(a)
        for i in range(n//2-1, -1, -1):
            down_heap(a, i, n)
    def down_heap(a, i, n):
        largest = i
        left = 2*i+1
        right = 2*i+2
        if left < n and a[left] > a[largest]: largest = left
        if right < n and a[right] > a[largest]: largest = right
        if largest != i:
            a[i], a[largest] = a[largest], a[i]
            down_heap(a, largest, n)
    n = len(arr)
    max_heap(arr)
    for i in range(n-1, 0, -1):
        arr[0], arr[i] = arr[i], arr[0]
        down_heap(arr, 0, i)
    return arr",O(nlogn)
"def heapsort_variant12(arr):
    def heapify(a, n, i):
        largest = i
        l = 2*i+1
        r = 2*i+2
        if l < n and a[l] > a[largest]: largest = l
        if r < n and a[r] > a[largest]: largest = r
        if largest != i:
            a[i], a[largest] = a[largest], a[i]
            heapify(a, n, largest)
    n = len(arr)
    for i in reversed(range(n//2)):
        heapify(arr, n, i)
    for i in reversed(range(1, n)):
        arr[0], arr[i] = arr[i], arr[0]
        heapify(arr, i, 0)
    return arr",O(nlogn)
"def heapsort_variant13(arr):
    def siftdown(a, i, n):
        while 2*i+1 < n:
            j = 2*i+1
            if j+1 < n and a[j] < a[j+1]: j += 1
            if a[i] < a[j]:
                a[i], a[j] = a[j], a[i]
                i = j
            else:
                break
    n = len(arr)
    for i in range(n//2-1, -1, -1):
        siftdown(arr, i, n)
    for end in range(n-1, 0, -1):
        arr[0], arr[end] = arr[end], arr[0]
        siftdown(arr, 0, end)
    return arr",O(nlogn)
"def heapsort_variant14(arr):
    def build_heap(a):
        n = len(a)
        for i in range(n//2-1, -1, -1):
            shift_down(a, i, n)
    def shift_down(a, i, n):
        while 2*i+1 < n:
            j = 2*i+1
            if j+1 < n and a[j] < a[j+1]: j += 1
            if a[i] < a[j]:
                a[i], a[j] = a[j], a[i]
                i = j
            else:
                break
    n = len(arr)
    build_heap(arr)
    for i in range(n-1, 0, -1):
        arr[0], arr[i] = arr[i], arr[0]
        shift_down(arr, 0, i)
    return arr",O(nlogn)
"def heapsort_variant15(arr):
    def heapify(a, count):
        start = (count - 2) // 2
        while start >= 0:
            sift(a, start, count)
            start -= 1
    def sift(a, start, count):
        root = start
        while 2*root + 1 < count:
            child = 2*root + 1
            if child + 1 < count and a[child] < a[child+1]:
                child += 1
            if a[root] < a[child]:
                a[root], a[child] = a[child], a[root]
                root = child
            else:
                return
    n = len(arr)
    heapify(arr, n)
    end = n - 1
    while end > 0:
        arr[0], arr[end] = arr[end], arr[0]
        sift(arr, 0, end)
        end -= 1
    return arr",O(nlogn)
"def heapsort_variant16(arr):
    def build_max_heap(a):
        n = len(a)
        for i in range(n//2-1, -1, -1):
            max_heapify(a, n, i)
    def max_heapify(a, n, i):
        largest = i
        l = 2*i + 1
        r = 2*i + 2
        if l < n and a[l] > a[largest]: largest = l
        if r < n and a[r] > a[largest]: largest = r
        if largest != i:
            a[i], a[largest] = a[largest], a[i]
            max_heapify(a, n, largest)
    n = len(arr)
    build_max_heap(arr)
    for i in range(n-1, 0, -1):
        arr[0], arr[i] = arr[i], arr[0]
        max_heapify(arr, i, 0)
    return arr",O(nlogn)
"def heapsort_variant17(arr):
    def siftdown(a, start, end):
        root = start
        while 2*root + 1 < end:
            child = 2*root + 1
            if child + 1 < end and a[child] < a[child+1]: child += 1
            if a[root] < a[child]:
                a[root], a[child] = a[child], a[root]
                root = child
            else:
                break
    n = len(arr)
    for start in range((n - 2) // 2, -1, -1):
        siftdown(arr, start, n)
    for end in range(n-1, 0, -1):
        arr[0], arr[end] = arr[end], arr[0]
        siftdown(arr, 0, end)
    return arr",O(nlogn)
"def heapsort_variant18(arr):
    def heapify(a, n, i):
        largest = i
        left = 2*i + 1
        right = 2*i + 2
        if left < n and a[left] > a[largest]: largest = left
        if right < n and a[right] > a[largest]: largest = right
        if largest != i:
            a[i], a[largest] = a[largest], a[i]
            heapify(a, n, largest)
    n = len(arr)
    for i in range(n//2 - 1, -1, -1):
        heapify(arr, n, i)
    for i in range(n-1, 0, -1):
        arr[0], arr[i] = arr[i], arr[0]
        heapify(arr, i, 0)
    return arr",O(nlogn)
"def heapsort_variant19(arr):
    def siftdown(a, i, n):
        while 2*i+1 < n:
            j = 2*i+1
            if j+1<n and a[j] < a[j+1]: j+=1
            if a[i] < a[j]:
                a[i], a[j] = a[j], a[i]
                i=j
            else:
                break
    n = len(arr)
    for i in range(n//2-1, -1, -1):
        siftdown(arr, i, n)
    for i in range(n-1,0,-1):
        arr[0], arr[i] = arr[i], arr[0]
        siftdown(arr, 0, i)
    return arr",O(nlogn)
"def heapsort_variant20(arr):
    def build_heap(a):
        for i in range(len(a)//2 - 1, -1, -1):
            heapify(a, i, len(a))
    def heapify(a, i, n):
        largest = i
        left = 2*i+1
        right = 2*i+2
        if left < n and a[left] > a[largest]: largest = left
        if right < n and a[right] > a[largest]: largest = right
        if largest != i:
            a[i], a[largest] = a[largest], a[i]
            heapify(a, largest, n)
    build_heap(arr)
    for i in range(len(arr)-1, 0, -1):
        arr[0], arr[i] = arr[i], arr[0]
        heapify(arr, 0, i)
    return arr",O(nlogn)
"def timsort_wrapper1(arr):
    return sorted(arr)",O(nlogn)
"def timsort_wrapper2(arr):
    result = arr.copy()
    result.sort()
    return result",O(nlogn)
"def timsort_wrapper3(arr):
    return list(sorted(arr))",O(nlogn)
"def timsort_wrapper4(arr):
    return sorted(arr, reverse=False)",O(nlogn)
"def timsort_wrapper5(arr):
    a = arr[:]
    a.sort()
    return a",O(nlogn)
"def timsort_wrapper6(arr):
    return sorted(arr, key=lambda x: x)",O(nlogn)
"def timsort_wrapper7(arr):
    from copy import deepcopy
    a = deepcopy(arr)
    a.sort()
    return a",O(nlogn)
"def timsort_wrapper8(arr):
    a = list(arr)
    a.sort()
    return a",O(nlogn)
"def timsort_wrapper9(arr):
    return sorted(arr, cmp=lambda a,b: (a > b) - (a < b))",O(nlogn)
"def timsort_wrapper10(arr):
    a = arr.copy()
    a.sort()
    return a",O(nlogn)
"def inversion_count_merge_sort1(arr):
    def merge_count(left, right):
        i = j = count = 0
        merged = []
        while i < len(left) and j < len(right):
            if left[i] <= right[j]:
                merged.append(left[i]); i += 1
            else:
                merged.append(right[j]); j += 1
                count += len(left) - i
        return merged + left[i:] + right[j:], count
    if len(arr) <= 1:
        return arr, 0
    mid = len(arr)//2
    left, x = inversion_count_merge_sort1(arr[:mid])
    right, y = inversion_count_merge_sort1(arr[mid:])
    merged, z = merge_count(left, right)
    return merged, x + y + z",O(nlogn)
"def inversion_count_merge_sort2(arr):
    def merge_and_count(L, R):
        i = j = count = 0
        merged = []
        while i < len(L) and j < len(R):
            if L[i] <= R[j]:
                merged.append(L[i]); i += 1
            else:
                merged.append(R[j]); j += 1
                count += len(L) - i
        return merged + L[i:] + R[j:], count
    n = len(arr)
    if n <= 1:
        return arr, 0
    mid = n//2
    left, a = inversion_count_merge_sort2(arr[:mid])
    right, b = inversion_count_merge_sort2(arr[mid:])
    merged, c = merge_and_count(left, right)
    return merged, a + b + c",O(nlogn)
"def inversion_count_merge_sort3(arr):
    def merge_count_split_inv(left, right):
        i=j=inv=0
        merged = []
        while i < len(left) and j < len(right):
            if left[i] <= right[j]:
                merged.append(left[i]); i += 1
            else:
                merged.append(right[j]); j += 1
                inv += len(left)-i
        return merged+left[i:]+right[j:], inv
    if len(arr)<=1:
        return arr, 0
    mid = len(arr)//2
    L, invL = inversion_count_merge_sort3(arr[:mid])
    R, invR = inversion_count_merge_sort3(arr[mid:])
    merged, invSplit = merge_count_split_inv(L, R)
    return merged, invL+invR+invSplit",O(nlogn)
"def inversion_count_merge_sort4(arr):
    if len(arr)<=1:
        return arr, 0
    mid = len(arr)//2
    left, inv_left = inversion_count_merge_sort4(arr[:mid])
    right, inv_right = inversion_count_merge_sort4(arr[mid:])
    i=j=inv_count=0
    merged = []
    while i<len(left) and j<len(right):
        if left[i]<=right[j]:
            merged.append(left[i]); i+=1
        else:
            merged.append(right[j]); j+=1
            inv_count += len(left)-i
    merged += left[i:]+right[j:]
    return merged, inv_left+inv_right+inv_count",O(nlogn)
"def inversion_count_merge_sort5(arr):
    def merge(L, R):
        merged = []
        i = j = inv = 0
        while i < len(L) and j < len(R):
            if L[i] <= R[j]:
                merged.append(L[i])
                i += 1
            else:
                merged.append(R[j])
                j += 1
                inv += len(L) - i
        return merged + L[i:] + R[j:], inv
    if len(arr)<=1:
        return arr, 0
    mid = len(arr)//2
    L, invL = inversion_count_merge_sort5(arr[:mid])
    R, invR = inversion_count_merge_sort5(arr[mid:])
    M, invM = merge(L, R)
    return M, invL+invR+invM",O(nlogn)
"def inversion_count_merge_sort6(arr):
    if len(arr) < 2:
        return arr, 0
    mid = len(arr)//2
    L, invL = inversion_count_merge_sort6(arr[:mid])
    R, invR = inversion_count_merge_sort6(arr[mid:])
    i = j = inv = 0
    merged = []
    while i < len(L) and j < len(R):
        if L[i] <= R[j]:
            merged.append(L[i]); i += 1
        else:
            merged.append(R[j]); j += 1
            inv += len(L) - i
    merged += L[i:] + R[j:]
    return merged, invL+invR+inv",O(nlogn)
"def inversion_count_merge_sort7(arr):
    def merge_count(L, R):
        i = j = count = 0
        merged = []
        while i < len(L) and j < len(R):
            if L[i] <= R[j]:
                merged.append(L[i]); i += 1
            else:
                merged.append(R[j]); j += 1
                count += len(L) - i
        return merged + L[i:] + R[j:], count
    if len(arr) <= 1: return arr, 0
    mid = len(arr)//2
    L, leftInv = inversion_count_merge_sort7(arr[:mid])
    R, rightInv = inversion_count_merge_sort7(arr[mid:])
    merged, splitInv = merge_count(L, R)
    return merged, leftInv + rightInv + splitInv",O(nlogn)
"def inversion_count_merge_sort8(arr):
    if len(arr) <= 1: return arr, 0
    mid = len(arr)//2
    L, invL = inversion_count_merge_sort8(arr[:mid])
    R, invR = inversion_count_merge_sort8(arr[mid:])
    merged, invSplit = [], 0
    i, j = 0, 0
    while i < len(L) and j < len(R):
        if L[i] <= R[j]:
            merged.append(L[i]); i += 1
        else:
            merged.append(R[j]); j += 1
            invSplit += len(L) - i
    merged.extend(L[i:])
    merged.extend(R[j:])
    return merged, invL + invR + invSplit",O(nlogn)
"def inversion_count_merge_sort9(arr):
    if len(arr) <= 1: return arr, 0
    mid = len(arr)//2
    L, leftInv = inversion_count_merge_sort9(arr[:mid])
    R, rightInv = inversion_count_merge_sort9(arr[mid:])
    i = j = inv = 0
    merged = []
    while i < len(L) and j < len(R):
        if L[i] <= R[j]:
            merged.append(L[i]); i += 1
        else:
            merged.append(R[j]); j += 1
            inv += len(L) - i
    merged += L[i:] + R[j:]
    return merged, leftInv + rightInv + inv",O(nlogn)
"def inversion_count_merge_sort10(arr):
    def merge(L, R):
        i = j = inv = 0
        merged = []
        while i < len(L) and j < len(R):
            if L[i] <= R[j]:
                merged.append(L[i]); i += 1
            else:
                merged.append(R[j]); j += 1
                inv += len(L) - i
        return merged + L[i:] + R[j:], inv
    if len(arr) <= 1: return arr, 0
    mid = len(arr)//2
    L, invL = inversion_count_merge_sort10(arr[:mid])
    R, invR = inversion_count_merge_sort10(arr[mid:])
    M, invM = merge(L, R)
    return M, invL + invR + invM",O(nlogn)
"def inversion_count_merge_sort11(arr):
    if len(arr) < 2:
        return arr, 0
    mid = len(arr)//2
    L, invL = inversion_count_merge_sort11(arr[:mid])
    R, invR = inversion_count_merge_sort11(arr[mid:])
    i = j = inv = 0
    merged = []
    while i < len(L) and j < len(R):
        if L[i] <= R[j]:
            merged.append(L[i]); i += 1
        else:
            merged.append(R[j]); j += 1
            inv += len(L)-i
    merged.extend(L[i:])
    merged.extend(R[j:])
    return merged, invL+invR+inv",O(nlogn)
"def inversion_count_merge_sort12(arr):
    if len(arr) <= 1:
        return arr, 0
    mid = len(arr)//2
    left, leftInv = inversion_count_merge_sort12(arr[:mid])
    right, rightInv = inversion_count_merge_sort12(arr[mid:])
    merged, splitInv = [], 0
    i = j = 0
    while i < len(left) and j < len(right):
        if left[i] <= right[j]:
            merged.append(left[i]); i += 1
        else:
            merged.append(right[j]); j += 1
            splitInv += len(left)-i
    merged.extend(left[i:])
    merged.extend(right[j:])
    return merged, leftInv+rightInv+splitInv",O(nlogn)
"def inversion_count_merge_sort13(arr):
    def merge_count(L, R):
        i = j = count = 0
        merged = []
        while i < len(L) and j < len(R):
            if L[i] <= R[j]:
                merged.append(L[i]); i += 1
            else:
                merged.append(R[j]); j += 1
                count += len(L) - i
        return merged + L[i:] + R[j:], count
    if len(arr) <= 1:
        return arr, 0
    mid = len(arr)//2
    L, a = inversion_count_merge_sort13(arr[:mid])
    R, b = inversion_count_merge_sort13(arr[mid:])
    M, c = merge_count(L, R)
    return M, a+b+c",O(nlogn)
"def inversion_count_merge_sort14(arr):
    if len(arr) < 2:
        return arr, 0
    mid = len(arr)//2
    L, invL = inversion_count_merge_sort14(arr[:mid])
    R, invR = inversion_count_merge_sort14(arr[mid:])
    i = j = inv = 0
    merged = []
    while i < len(L) and j < len(R):
        if L[i] <= R[j]: merged.append(L[i]); i += 1
        else: merged.append(R[j]); j += 1; inv += len(L)-i
    merged.extend(L[i:])
    merged.extend(R[j:])
    return merged, invL+invR+inv",O(nlogn)
